Position-(m)-Run-1,Force-(N)-Run-1,Position-(m)-Run-2,Force-(N)-Run-2,Position-(m)-Run-3,Force-(N)-Run-3,Position-(m)-Run-4,Force-(N)-Run-4,Position-(m)-Run-5,Force-(N)-Run-5,Position-(m)-Run-6,Force-(N)-Run-6
0.0563,1.12,0.0369,0.75,0.0297,0.6,0.0392,0.79,0.0393,0.75,0.0414,0.83
0.057,1.12,0.0375,0.76,0.0303,0.62,0.0399,0.8,0.0401,0.76,0.0421,0.86
0.0577,1.15,0.0382,0.77,0.0309,0.63,0.0405,0.8,0.041,0.78,0.0428,0.89
0.0584,1.15,0.0388,0.79,0.0315,0.63,0.0412,0.83,0.0418,0.8,0.0437,0.88
0.0592,1.16,0.0395,0.8,0.0321,0.64,0.042,0.84,0.0427,0.8,0.0445,0.9
0.0599,1.19,0.0401,0.8,0.0329,0.66,0.0428,0.85,0.0434,0.82,0.0452,0.93
0.0606,1.19,0.0407,0.82,0.0335,0.66,0.0435,0.88,0.0443,0.84,0.0461,0.93
0.0612,1.2,0.0414,0.83,0.0341,0.67,0.0443,0.89,0.045,0.86,0.0469,0.95
0.062,1.23,0.042,0.84,0.0348,0.69,0.045,0.89,0.0458,0.88,0.0478,0.98
0.0627,1.23,0.0426,0.87,0.0354,0.7,0.0456,0.92,0.0466,0.89,0.0485,0.99
0.0633,1.24,0.0432,0.87,0.0361,0.71,0.0463,0.93,0.0473,0.9,0.0494,0.99
0.064,1.26,0.0438,0.87,0.0367,0.73,0.0469,0.93,0.048,0.92,0.0501,1.02
0.0646,1.27,0.0444,0.9,0.0373,0.74,0.0477,0.95,0.0487,0.94,0.0509,1.03
0.0654,1.27,0.045,0.91,0.038,0.75,0.0483,0.97,0.0494,0.94,0.0517,1.03
0.066,1.29,0.0456,0.92,0.0386,0.76,0.049,0.98,0.0501,0.96,0.0524,1.06
0.0666,1.3,0.0461,0.92,0.0392,0.77,0.0496,0.98,0.0508,0.98,0.0531,1.07
0.0673,1.3,0.0467,0.94,0.0398,0.78,0.0502,1.01,0.0515,0.98,0.0538,1.08
0.0679,1.32,0.0472,0.95,0.0403,0.79,0.0508,1.02,0.0521,1,0.0546,1.1
0.0685,1.33,0.0478,0.96,0.0409,0.81,0.0514,1.02,0.0529,1.01,0.0552,1.11
0.0691,1.33,0.0483,0.97,0.0414,0.81,0.0521,1.05,0.0536,1.02,0.0559,1.1
0.0697,1.35,0.0487,0.97,0.0418,0.83,0.0527,1.06,0.0542,1.03,0.0565,1.14
0.0702,1.36,0.0491,0.99,0.0424,0.84,0.0534,1.05,0.0549,1.05,0.0571,1.15
