Position-(m)-Run-1,Force-(N)-Run-1,Position-(m)-Run-2,Force-(N)-Run-2,Position-(m)-Run-3,Force-(N)-Run-3,Position-(m)-Run-4,Force-(N)-Run-4,Position-(m)-Run-5,Force-(N)-Run-5,Position-(m)-Run-6,Force-(N)-Run-6
0.0403,0.81,0.0198,0.44,0.0485,0.95,0.0178,0.41,0.0213,0.42,0.0554,1.11
0.0394,0.79,0.0193,0.43,0.0477,0.93,0.0175,0.39,0.021,0.42,0.0548,1.1
0.0384,0.78,0.0188,0.42,0.0468,0.92,0.0171,0.38,0.0206,0.41,0.0543,1.09
0.0376,0.76,0.0182,0.41,0.046,0.9,0.0167,0.38,0.0203,0.4,0.0538,1.08
0.0366,0.74,0.0177,0.41,0.0451,0.89,0.0164,0.36,0.0199,0.4,0.0532,1.06
0.0357,0.73,0.0172,0.4,0.0443,0.85,0.0161,0.37,0.0196,0.39,0.0527,1.06
0.0348,0.71,0.0167,0.38,0.0434,0.85,0.0158,0.37,0.0193,0.38,0.0523,1.05
0.034,0.69,0.0162,0.38,0.0424,0.84,0.0155,0.36,0.019,0.38,0.0517,1.04
0.0331,0.68,0.0159,0.37,0.0416,0.81,0.0153,0.35,0.0187,0.37,0.0512,1.04
0.0323,0.67,0.0154,0.37,0.0409,0.8,0.0149,0.36,0.0184,0.37,0.0506,1.03
0.0314,0.65,0.0149,0.36,0.04,0.78,0.0147,0.34,0.0181,0.37,0.0501,1.01
0.0306,0.63,0.0146,0.35,0.0392,0.76,0.0144,0.34,0.0178,0.36,0.0496,1.01
0.0297,0.63,0.0141,0.34,0.0384,0.75,0.0142,0.33,0.0176,0.35,0.0491,0.99
0.029,0.6,0.0137,0.33,0.0376,0.74,0.0138,0.33,0.0173,0.36,0.0486,0.98
0.0281,0.59,0.0133,0.33,0.0369,0.73,0.0136,0.32,0.0171,0.35,0.048,0.98
0.0274,0.58,0.0131,0.32,0.0361,0.71,0.0133,0.32,0.0169,0.34,0.0475,0.97
0.0266,0.57,0.0127,0.32,0.0353,0.69,0.0131,0.31,0.0166,0.35,0.047,0.95
0.0258,0.55,0.0125,0.31,0.0346,0.69,0.0129,0.3,0.0165,0.33,0.0466,0.94
0.025,0.55,0.0122,0.3,0.0338,0.67,0.0126,0.31,0.0162,0.33,0.0461,0.93
0.0243,0.53,0.012,0.3,0.0331,0.65,0.0124,0.3,0.016,0.34,0.0456,0.91
0.0234,0.51,0.0118,0.3,0.0325,0.65,0.0121,0.29,0.0158,0.32,0.0451,0.91
0.0227,0.51,0.0115,0.29,0.0318,0.64,0.0119,0.29,0.0155,0.32,0.0446,0.9
0.0219,0.48,0.0113,0.29,0.0312,0.62,0.0116,0.29,0.0153,0.32,0.044,0.89
0.0212,0.46,0.011,0.28,0.0304,0.62,0.0114,0.28,0.015,0.31,0.0435,0.87
0.0205,0.46,0.0108,0.28,0.0298,0.61,0.0112,0.29,0.0148,0.31,0.043,0.88
0.0199,0.44,0.0107,0.28,0.0292,0.59,0.0109,0.28,0.0146,0.3,0.0426,0.86
0.0192,0.43,0.0104,0.27,0.0286,0.58,0.0107,0.27,0.0144,0.29,0.042,0.85
0.0184,0.42,0.0103,0.27,0.0281,0.58,0.0104,0.27,0.0142,0.29,0.0415,0.85
0.0178,0.41,0.0101,0.27,0.0275,0.56,0.0102,0.26,0.0139,0.29,0.041,0.83
0.0172,0.4,0.0099,0.26,0.0269,0.54,0.0099,0.26,0.0137,0.29,0.0404,0.82
0.0165,0.4,0.0098,0.26,0.0264,0.55,0.0098,0.27,0.0135,0.27,0.0399,0.81
0.0159,0.38,0.0097,0.25,0.0258,0.53,0.0097,0.26,0.0132,0.28,0.0394,0.8
0.0153,0.36,0.0096,0.25,0.0252,0.51,0.0096,0.25,0.013,0.27,0.0388,0.79
0.0147,0.36,0.0095,0.25,0.0247,0.51,0.0095,0.25,0.0127,0.26,0.0383,0.78
0.0142,0.34,0.0093,0.26,0.0243,0.49,0.0093,0.26,0.0125,0.26,0.0378,0.77
0.0136,0.33,0.0092,0.25,0.0236,0.49,0.0092,0.25,0.0122,0.25,0.0372,0.75
0.0131,0.32,0.0091,0.25,0.0232,0.49,0.0092,0.25,0.0119,0.25,0.0366,0.75
0.0126,0.32,0.009,0.25,0.0227,0.47,0.0091,0.25,0.0116,0.25,0.0361,0.74
0.0121,0.31,0.0089,0.24,0.0221,0.45,0.0091,0.24,0.0114,0.24,0.0357,0.72
0.0116,0.31,0.0087,0.24,0.0216,0.45,0.0091,0.25,0.011,0.24,0.035,0.73
0.0112,0.3,0.0085,0.24,0.0211,0.44,0.009,0.24,0.0108,0.24,0.0346,0.71
0.0108,0.28,0.0084,0.24,0.0206,0.42,0.009,0.24,0.0105,0.23,0.034,0.7
0.0104,0.28,0.0082,0.23,0.02,0.42,0.009,0.25,0.0103,0.22,0.0335,0.7
0.0101,0.27,0.0081,0.23,0.0195,0.41,0.0089,0.24,0.0101,0.22,0.033,0.68
0.0097,0.27,0.008,0.23,0.019,0.4,0.0089,0.23,0.0098,0.21,0.0324,0.67
0.0093,0.25,0.0079,0.22,0.0186,0.4,0.0087,0.24,0.0097,0.22,0.0319,0.67
0.0091,0.25,0.0078,0.23,0.0181,0.38,0.0087,0.24,,,0.0314,0.66
0.0087,0.24,0.0076,0.22,0.0176,0.38,0.0087,0.23,,,0.0309,0.64
0.0084,0.24,0.0075,0.21,0.0171,0.37,0.0086,0.23,,,0.0303,0.64
0.0081,0.24,0.0073,0.22,0.0166,0.37,0.0086,0.23,,,0.0298,0.63
0.0078,0.23,0.0072,0.21,0.0162,0.35,0.0085,0.23,,,0.0293,0.62
0.0075,0.23,0.007,0.21,0.0158,0.36,0.0084,0.24,,,0.0287,0.61
0.0073,0.22,0.0069,0.2,0.0154,0.34,0.0082,0.23,,,0.0283,0.6
0.0069,0.21,0.0068,0.2,0.0149,0.33,0.0082,0.22,,,0.0278,0.59
0.0067,0.21,0.0067,0.2,0.0146,0.33,0.0081,0.22,,,0.0273,0.59
0.0064,0.2,0.0065,0.21,0.0142,0.32,0.008,0.22,,,0.0267,0.57
0.0062,0.19,0.0064,0.2,0.0138,0.31,,,,,0.0262,0.57
0.0058,0.19,0.0063,0.2,0.0135,0.31,,,,,0.0257,0.56
0.0056,0.19,0.0062,0.2,0.0131,0.3,,,,,0.0252,0.55
0.0053,0.18,0.0062,0.19,0.0129,0.29,,,,,0.0247,0.54
0.005,0.18,0.0061,0.18,0.0125,0.29,,,,,0.0243,0.54
0.0047,0.18,0.0059,0.19,0.0122,0.29,,,,,0.0238,0.53
0.0045,0.17,0.0058,0.19,0.0119,0.27,,,,,0.0233,0.52
0.0042,0.17,0.0057,0.18,0.0116,0.27,,,,,0.0228,0.51
0.004,0.16,0.0057,0.19,0.0114,0.26,,,,,0.0223,0.5
0.0038,0.16,0.0056,0.18,0.011,0.26,,,,,0.0218,0.48
0.0036,0.16,0.0056,0.18,0.0108,0.26,,,,,0.0213,0.49
0.0034,0.15,0.0056,0.18,0.0105,0.25,,,,,0.021,0.47
0.0033,0.15,0.0055,0.18,0.0102,0.24,,,,,0.0205,0.46
0.0032,0.16,0.0055,0.18,0.0099,0.24,,,,,0.0201,0.46
,,,,,,,,,,0.0196,0.44
,,,,,,,,,,0.0193,0.44
,,,,,,,,,,0.0189,0.43
,,,,,,,,,,0.0186,0.42
,,,,,,,,,,0.0182,0.42
,,,,,,,,,,0.0178,0.42
,,,,,,,,,,0.0175,0.42
,,,,,,,,,,0.0171,0.4
,,,,,,,,,,0.0167,0.4
,,,,,,,,,,0.0165,0.39
,,,,,,,,,,0.0161,0.38
,,,,,,,,,,0.0158,0.38
,,,,,,,,,,0.0155,0.37
,,,,,,,,,,0.0152,0.37
,,,,,,,,,,0.0149,0.36
,,,,,,,,,,0.0147,0.35
,,,,,,,,,,0.0143,0.36
,,,,,,,,,,0.0141,0.35
,,,,,,,,,,0.0138,0.34
,,,,,,,,,,0.0135,0.34
,,,,,,,,,,0.0132,0.33
,,,,,,,,,,0.013,0.33
,,,,,,,,,,0.0126,0.32
,,,,,,,,,,0.0124,0.31
,,,,,,,,,,0.0121,0.31
,,,,,,,,,,0.0119,0.31
,,,,,,,,,,0.0115,0.31
,,,,,,,,,,0.0113,0.3
,,,,,,,,,,0.0112,0.3
,,,,,,,,,,0.0109,0.29
,,,,,,,,,,0.0107,0.28
,,,,,,,,,,0.0105,0.28
,,,,,,,,,,0.0103,0.28
,,,,,,,,,,0.0102,0.28
,,,,,,,,,,0.0101,0.28
,,,,,,,,,,0.0098,0.28
,,,,,,,,,,0.0097,0.27
,,,,,,,,,,0.0096,0.26
,,,,,,,,,,0.0095,0.26
,,,,,,,,,,0.0093,0.26
,,,,,,,,,,0.0091,0.26
,,,,,,,,,,0.009,0.26
,,,,,,,,,,0.0089,0.25
,,,,,,,,,,0.0087,0.25
,,,,,,,,,,0.0085,0.25
,,,,,,,,,,0.0084,0.25
,,,,,,,,,,0.0081,0.24
,,,,,,,,,,0.008,0.24
,,,,,,,,,,0.0078,0.24
,,,,,,,,,,0.0075,0.23
,,,,,,,,,,0.0074,0.23
,,,,,,,,,,0.0072,0.22
,,,,,,,,,,0.007,0.21
,,,,,,,,,,0.0068,0.23
,,,,,,,,,,0.0067,0.21
,,,,,,,,,,0.0064,0.21
,,,,,,,,,,0.0063,0.21
,,,,,,,,,,0.0061,0.2
,,,,,,,,,,0.0059,0.19
