"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.403897083E-1,-2.313365173E1,-1.571449280E1,-3.684857941E1,4.625936587E1
7.504047083E-1,-2.318142700E1,-1.569479370E1,-3.666013336E1,4.612667867E1
7.604197083E-1,-2.315728760E1,-1.559133911E1,-3.675905609E1,4.615818485E1
7.704347083E-1,-2.319790649E1,-1.566419983E1,-3.676729584E1,4.620978322E1
7.804497083E-1,-2.328791809E1,-1.587680054E1,-3.674400330E1,4.630898080E1
7.904647083E-1,-2.319348145E1,-1.568197632E1,-3.664305878E1,4.611481020E1
8.004797083E-1,-2.324572754E1,-1.588945007E1,-3.666175842E1,4.622686452E1
8.104937083E-1,-2.319618225E1,-1.575840759E1,-3.703479767E1,4.645391823E1
8.205087083E-1,-2.316590881E1,-1.566250610E1,-3.680575562E1,4.622377175E1
8.305237083E-1,-2.319328308E1,-1.580830383E1,-3.699351501E1,4.643652661E1
8.405387083E-1,-2.336331177E1,-1.584349060E1,-3.691954041E1,4.647486412E1
8.505537083E-1,-2.325732422E1,-1.575210571E1,-3.689046478E1,4.636742775E1
8.605687083E-1,-2.324597168E1,-1.569686890E1,-3.695835876E1,4.639705998E1
8.705837083E-1,-2.313539124E1,-1.574928284E1,-3.679974365E1,4.623318473E1
8.805987083E-1,-2.317373657E1,-1.574031067E1,-3.671629333E1,4.618295836E1
8.906137083E-1,-2.323863220E1,-1.581607056E1,-3.697856903E1,4.644993737E1
9.006287083E-1,-2.322157288E1,-1.587991333E1,-3.685858154E1,4.636774879E1
9.106437083E-1,-2.304010010E1,-1.564656067E1,-3.678581238E1,4.613953907E1
9.206587083E-1,-2.311312866E1,-1.576919556E1,-3.670372009E1,4.615243562E1
9.306727083E-1,-2.317543030E1,-1.588880920E1,-3.660220337E1,4.614408000E1
9.406877083E-1,-2.321861267E1,-1.576651001E1,-3.660440063E1,4.612557813E1
9.507027083E-1,-2.333499146E1,-1.576017761E1,-3.674570465E1,4.629418792E1
9.607177083E-1,-2.336381531E1,-1.576853943E1,-3.659911346E1,4.619534401E1
9.707327083E-1,-2.341883850E1,-1.583587646E1,-3.667259216E1,4.630438420E1
9.807477083E-1,-2.316641235E1,-1.575701904E1,-3.677611542E1,4.623255320E1
9.907627083E-1,-2.329165649E1,-1.587834167E1,-3.678153229E1,4.634117083E1
1.000777708E0,-2.335812378E1,-1.582962036E1,-3.686418915E1,4.642356372E1
1.010792708E0,-2.331721497E1,-1.584822083E1,-3.704734039E1,4.655495728E1
1.020807708E0,-2.322856140E1,-1.577989197E1,-3.683937073E1,4.632181226E1
1.030822708E0,-2.321844482E1,-1.576553345E1,-3.673459625E1,4.622854948E1
1.040837708E0,-2.307878113E1,-1.573632812E1,-3.681865692E1,4.621553482E1
1.050852708E0,-2.309390259E1,-1.578552246E1,-3.673206329E1,4.617093815E1
1.060866708E0,-2.314569092E1,-1.578739929E1,-3.676733398E1,4.622555389E1
1.070881708E0,-2.314945984E1,-1.562168884E1,-3.667857361E1,4.610046003E1
1.080896708E0,-2.325271606E1,-1.567712402E1,-3.654684448E1,4.606661333E1
1.090911708E0,-2.327513123E1,-1.567483521E1,-3.659403229E1,4.611458979E1
1.100926708E0,-2.311659241E1,-1.557096863E1,-3.683156586E1,4.618870156E1
1.110941708E0,-2.313734436E1,-1.559063721E1,-3.672061920E1,4.611733456E1
1.120956708E0,-2.317108154E1,-1.571511841E1,-3.672796631E1,4.618232861E1
1.130971708E0,-2.322402954E1,-1.578446960E1,-3.657773590E1,4.611329301E1
1.140986708E0,-2.328472900E1,-1.575885010E1,-3.664444733E1,4.618804479E1
1.151001708E0,-2.321563721E1,-1.578628540E1,-3.667947388E1,4.619043647E1
1.161016708E0,-2.308090210E1,-1.574131775E1,-3.671308136E1,4.613423316E1
1.171031708E0,-2.315225220E1,-1.569276428E1,-3.669136810E1,4.613616939E1
1.181046333E0,-2.305531311E1,-1.551208496E1,-3.686730957E1,4.616677114E1
1.191060333E0,-2.297344971E1,-1.555226135E1,-3.667565918E1,4.598647846E1
1.201075333E0,-2.299357605E1,-1.549557495E1,-3.660739899E1,4.592296858E1
1.211090333E0,-2.309423828E1,-1.556907654E1,-3.675515747E1,4.611595805E1
1.221105333E0,-2.311650085E1,-1.572412109E1,-3.682523346E1,4.623546707E1
1.231120333E0,-2.315457153E1,-1.560008240E1,-3.684338379E1,4.622695840E1
