Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,mass
149181,1073848513,28.5491,-11.6646,-25.2628,6.38586,27.8258,0.227526,-2.00336,-1,87.647,10.9012,25.0397,-83.2837,27.3098,-1.83401,1.16018,1,87.10696473517143
149011,326252897,32.9189,13.0981,-29.3657,-7.05353,32.1544,-0.217642,-1.15124,1,113.908,-5.12338,27.1924,-110.496,27.6708,-2.09307,1.75703,-1,87.58953800780492
146644,366747119,84.5446,0.0241589,-46.0628,70.8943,46.0628,1.21625,-1.57027,1,58.4754,-6.69834,40.3689,41.7715,40.9208,0.895998,1.73523,-1,87.6594131841778
147754,266975267,51.2536,-27.5391,-33.5075,-27.3088,43.3723,-0.594072,-2.25874,-1,37.5183,18.9832,23.5884,22.1551,30.2783,0.678455,0.893155,1,87.6487172541618
149181,1394944163,164.773,-48.4144,20.903,-156.106,52.7342,-1.8058,2.73402,-1,223.193,35.6976,17.2049,-219.647,39.6273,-2.41369,0.449113,1,87.82579975354626
147929,180812133,160.58,9.97866,45.5469,-153.662,46.6272,-1.90798,1.35512,-1,44.8656,-4.72667,-31.5408,-31.5556,31.893,-0.873873,-1.71955,1,87.62751265116403
149011,144658339,51.3585,-40.609,12.5456,-28.8308,42.5027,-0.634823,2.84196,1,92.3072,34.6148,-11.7788,-84.7567,36.5639,-1.57745,-0.327992,-1,87.75645152557159
147926,162211347,38.7175,22.4035,27.3071,-15.8573,35.3213,-0.435086,0.883723,1,69.2735,33.0388,-43.5108,42.5918,54.6329,0.716659,-0.921355,-1,87.24055288551305
147754,328613115,198.381,47.9414,6.52299,-192.391,48.3832,-2.08897,0.135231,1,185.17,-34.5511,35.8379,-178.353,49.7809,-1.98821,2.33791,-1,87.67274906901149
149181,763444986,187.731,53.3466,-21.5547,-178.697,57.5367,-1.85138,-0.383993,1,182.88,-28.7617,9.46936,-180.355,30.2805,-2.48455,2.82354,-1,87.65672744333085
149181,1764995219,82.7449,9.05283,-19.6726,-79.8608,21.6556,-2.01606,-1.13951,-1,120.909,34.938,71.7285,-90.8477,79.785,-0.976102,1.11753,1,87.68414431390147
149011,17443783,32.485,-20.0234,-15.6373,20.2439,25.4059,0.730183,-2.47857,-1,154.303,34.3611,57.1811,139.137,66.7111,1.4813,1.0297,1,86.92542032949856
149181,661877194,151.562,37.7038,-28.7413,143.957,47.4093,1.82992,-0.651322,-1,155.294,-32.6697,23.3585,150.01,40.1613,2.0284,2.52088,1,87.69088292604886
149181,331983307,38.2506,-29.4975,19.9588,13.952,35.6153,0.382355,2.54673,-1,71.9768,43.8386,-23.2895,52.1195,49.6409,0.916242,-0.488337,1,86.99353933948197
149181,1551106042,86.3846,-3.30107,18.4018,-84.3373,18.6956,-2.21175,1.7483,-1,23.1899,0.645715,5.29299,22.5685,5.33223,2.14961,1.4494,1,87.30803178110176
147754,288991537,97.6784,36.266,-12.28,-89.8613,38.2886,-1.58884,-0.326492,1,236.947,-37.6639,21.1596,-232.976,43.2007,-2.38671,2.62974,-1,87.57530835401029
149011,378633968,71.4696,-17.4274,-12.1713,-68.2352,21.2568,-1.88285,-2.53194,1,372.391,62.7341,63.1081,-361.603,88.9842,-2.11004,0.78837,-1,87.20148733817564
147114,595546967,32.3915,-6.28616,-29.4066,12.0394,30.071,0.390376,-1.78139,1,141.291,3.69013,28.8079,138.274,29.0433,2.26445,1.4434,-1,86.97352915249043
148031,237066111,89.0445,2.65807,-55.7735,69.3625,55.8368,1.04273,-1.52317,-1,104.264,76.254,-6.6024,70.8008,76.5393,0.827353,-0.0863689,1,87.20411580232378
146644,1304311107,217.031,-30.7599,14.6366,-214.341,34.0646,-2.53871,2.69746,1,62.5778,31.7206,-16.6921,-51.2948,35.8444,-1.15589,-0.484406,-1,87.25568618181859
147926,575427280,25.8971,16.1592,7.22685,-18.9027,17.7016,-0.928545,0.420546,1,79.802,-16.4504,-0.414143,78.087,16.4556,2.26123,-3.11642,-1,87.30991123699617
147114,400858875,67.8473,25.8694,38.2445,-49.7131,46.1721,-0.934577,0.976071,1,72.0455,-15.4556,-38.8902,-58.645,41.8488,-1.13877,-1.94907,-1,87.86155870060584
146644,1383818202,16.4463,1.57041,-4.58446,-15.7162,4.84598,-1.89265,-1.24077,1,116.526,14.4355,24.4391,113.017,28.3841,2.09026,1.03726,-1,86.97005807858413
147115,546361779,148.65,36.077,-16.5392,-143.255,39.6875,-1.99539,-0.429853,-1,211.473,-50.6944,-2.09771,-205.297,50.7378,-2.10586,-3.10024,1,87.40180563290392
149181,1142720229,37.5097,-27.2011,14.8769,-21.1129,31.0036,-0.637017,2.64111,1,170.553,27.7286,-14.7227,-167.639,31.3948,-2.37697,-0.488106,-1,87.53573752353948
