Run,Event,pt,eta,phi,Q,chiSq,dxy,iso,MET,phiMET
173389,489850627,33.7052,-0.283576,1.39684,1,1.26076,-0.065551,8.70507,12.611,0.206331
173389,489853173,32.2093,-1.92351,2.24892,1,1.32857,0.0628652,73.0017,35.2839,-0.611883
173389,489962955,42.0397,-0.554164,-1.57373,1,0.930246,0.0633393,27.5653,2.37476,-1.43545
173389,489929556,36.4556,0.496483,-1.62564,-1,1.83382,0.0737392,97.0396,24.1062,0.0478154
173389,489905860,41.9379,1.61263,-1.06335,1,0.947764,0.0846634,0.397991,47.8606,1.4681
173389,489960525,36.4565,0.129807,-0.470469,-1,1.17923,0.125395,85.8214,13.2253,2.30697
173389,490244189,36.7344,0.893856,-1.30483,1,1.06695,0.0804289,0.809199,37.5794,1.73842
173389,490245206,50.6252,0.558248,-0.743126,1,1.38944,0.0824918,1.79912,30.4103,1.42415
173389,490382832,30.9983,-1.85673,-0.480145,1,1.55149,0.076242,13.9871,9.97783,-2.2248
173389,490410252,30.835,1.77267,-2.21564,-1,1.19549,0.0313752,19.9283,18.645,-1.45917
173389,490425128,33.7866,0.145852,-2.76616,-1,1.61017,-0.01956,1.17579,50.3991,0.370494
173389,490570084,37.6568,0.214473,0.377701,1,0.927824,0.0134789,35.087,14.4684,2.13573
173389,490570312,32.6965,0.123679,1.18883,1,0.888942,-0.0487276,1.8457,32.8163,-1.68643
173389,490618170,38.0334,-0.101086,0.549889,1,1.65809,0.000377329,5.53928,5.27868,-1.15528
173389,490553721,37.4425,1.41721,-0.4895,1,1.53578,0.0700721,0,45.3678,1.87694
173389,490736070,30.6319,-0.705258,-2.56662,-1,0.979825,0.000457818,39.3922,15.7527,0.663839
173389,490738248,67.2451,1.26672,1.47812,1,1.18156,-0.0665801,0.631086,22.1781,-0.981481
173389,490883796,34.9175,-0.943931,2.83979,1,0.976514,-0.0721026,21.4504,35.9866,3.00476
173389,490972267,36.8187,0.916975,-0.931158,1,0.926017,0.0861665,0.239131,41.3874,2.4721
173389,491006476,37.5512,1.26626,0.838149,1,2.52164,-0.0260344,0,35.9358,-1.98091
173389,491092941,52.8374,-1.73146,-0.179937,1,0.405675,0.0628603,1.4447,30.4688,-3.09935
173389,491228467,41.1559,0.592082,-0.180877,1,0.672362,0.0595903,34.3967,27.3304,-0.242422
