Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
149181,388719742,14.8448,0.244004,14.395,-3.61843,14.397,-0.248758,1.55385,1,12.8588,-2.78558,2.57439,12.2867,3.79302,1.89152,2.39558,-1
149181,388200655,104.734,27.479,-8.9278,100.67,28.8929,1.96139,-0.314138,1,5.77975,1.98698,-0.724344,5.37892,2.11489,1.66321,-0.349573,-1
149181,389282815,21.3747,-18.5579,-8.4649,-6.38958,20.3973,-0.308347,-2.71365,1,40.3182,5.93741,9.5055,38.7292,11.2075,1.95347,1.01246,1
149181,389098024,89.7926,-10.7199,46.5372,-76.04,47.7559,-1.24488,1.7972,1,88.5569,-18.4834,-37.6893,-77.9756,41.9776,-1.37805,-2.02675,-1
149181,389655202,163.199,-4.89305,-26.565,160.948,27.0119,2.48492,-1.75295,-1,6.57168,2.14257,3.19345,5.329,3.84561,1.12966,0.979849,-1
149181,389675618,3.67793,0.401291,-3.03281,-2.04162,3.05924,-0.625722,-1.43924,1,113.544,-21.9877,2.88696,111.357,22.1764,2.31663,3.01104,-1
149181,390232302,25.5393,-12.2796,3.79022,-22.0703,12.8513,-1.30959,2.84221,1,125.274,34.0106,-4.84799,-120.471,34.3544,-1.96756,-0.14159,1
149181,389879119,8.44392,-0.976125,5.02178,6.71779,5.11577,1.08645,1.76278,1,8.05834,-1.79663,-2.12493,7.56265,2.78266,1.72521,-2.27267,1
149181,390235991,5.01405,-1.53328,-4.15187,-2.35622,4.42594,-0.509972,-1.92456,1,19.9688,-9.90072,17.1754,2.39471,19.8247,0.120503,2.09372,-1
149181,390095968,3.33165,2.10763,0.411297,-2.54727,2.14739,-1.00712,0.192725,-1,35.2767,-21.1255,-17.8564,-21.8931,27.6611,-0.725999,-2.43986,1
149181,389551689,3.10178,3.06201,-0.470116,0.155245,3.09789,0.0500921,-0.152342,-1,110.423,-15.3734,12.7683,-108.599,19.9842,-2.39423,2.4485,-1
149181,391150810,93.894,-5.83521,12.5443,-92.8691,13.8351,-2.60263,2.00619,-1,23.2462,-3.8512,-0.444407,-22.9206,3.87675,-2.47726,-3.02671,1
149181,391445987,44.5305,-29.3468,-13.2119,-30.7762,32.1837,-0.850109,-2.71857,1,3.58187,2.90161,-2.07326,-0.334725,3.5662,-0.0937232,-0.620405,-1
149181,391747099,55.093,11.5583,11.5463,-52.6149,16.3374,-1.88597,0.784879,1,13.8525,3.21647,-0.952994,13.4402,3.35468,2.09626,-0.288045,-1
149181,390756028,1.51161,-1.05749,0.34936,1.02207,1.11371,0.821977,2.82252,1,101.487,13.3637,14.103,99.61,19.4289,2.33703,0.81231,1
149181,391647060,3.91334,-2.28571,-2.22965,-2.26239,3.19309,-0.659637,-2.36861,1,125.906,12.3335,22.151,-123.327,25.3531,-2.28548,1.06275,1
149181,391624093,32.8267,13.5778,5.78028,29.3227,14.7569,1.43783,0.402477,-1,56.5101,10.7549,14.7484,53.4809,18.2533,1.79605,0.940722,-1
149181,391817461,92.5956,5.90614,21.2645,89.9271,22.0695,2.11268,1.29988,1,10.2736,-2.96894,-5.07521,8.42459,5.87983,1.1569,-2.10011,-1
149181,391864973,54.711,-16.4364,18.4182,48.8253,24.6857,1.4337,2.2994,-1,4.969,3.75576,-2.39883,2.19792,4.45647,0.47512,-0.568394,1
149181,391408390,62.849,-17.4573,11.2413,59.3201,20.7635,1.77221,2.56949,-1,8.84739,2.41221,0.453172,8.50012,2.45441,1.95556,0.185701,-1
149181,390969007,25.2004,4.78558,-0.192403,24.741,4.78945,2.34443,-0.0401831,-1,106.526,13.7357,-11.9909,-104.954,18.2332,-2.45089,-0.717682,-1
149181,391420751,23.0734,16.0737,-7.0335,14.9849,17.5452,0.774337,-0.412476,1,10.2791,-2.5159,-1.00734,-9.9154,2.71007,-2.00844,-2.76075,-1
149181,391873967,20.9907,-12.5922,-5.01948,-16.0265,13.5558,-1.00457,-2.76228,1,10.2306,3.48749,0.97824,-9.56792,3.62209,-1.69855,0.273472,-1
149181,391674896,8.12215,0.233607,-3.22209,-7.45204,3.23055,-1.57296,-1.49842,1,100.427,7.3814,16.8636,98.7253,18.4083,2.38127,1.15821,1
149181,391168153,33.605,-10.6915,24.281,-20.6258,26.5306,-0.714948,1.98557,1,24.7838,4.64511,-3.71439,24.0596,5.94758,2.10564,-0.674518,-1
149181,392182618,2.54543,-0.870584,-1.1393,2.10316,1.43385,1.1762,-2.22328,-1,44.128,33.8843,26.5217,9.78451,43.0296,0.225475,0.66411,-1
149181,392942386,208.567,10.3216,28.9948,-206.284,30.7772,-2.60115,1.2288,1,66.531,-4.74221,-40.3859,-52.658,40.6634,-1.07538,-1.68768,-1
149181,392035643,24.2021,23.9729,3.06089,1.29377,24.1675,0.0535078,0.126994,1,64.2814,-41.6314,43.1791,23.119,59.9801,0.376487,2.33795,-1
149181,393058524,6.987,3.31318,-3.90376,4.75412,5.1202,0.829902,-0.867049,-1,23.0131,13.1109,-15.6238,10.6585,20.396,0.501315,-0.872629,1
149181,392213784,78.9762,21.3871,9.23008,75.4628,23.2938,1.89161,0.407425,1,223.756,-14.9875,-35.6028,220.396,38.6288,2.44217,-1.96924,1
149181,392407856,11.7212,0.136732,-3.40774,-11.214,3.41048,-1.90582,-1.53069,1,58.997,6.30017,13.4155,57.105,14.8212,2.05841,1.13175,-1
