Year,Mass,Mint
1997,2.4926,D
1996,2.496,D
1998,2.4846,D
1980,3.0423,P
2000,2.4876,D
2000,2.5013,D
1975,3.1717,D
1999,2.499,P
2000,2.5063,D
1983,2.4961,D
2005,2.4947,D
2000,2.4836,D
2001,2.5028,D
1994,2.4961,D
1986,2.476,D
2000,2.5095,D
1982,2.4985,D
2000,2.5103,D
2001,2.5301,D
2001,2.4984,P
1993,2.5033,D
1983,2.3982,D
1997,2.5008,P
1972,3.1405,P
2004,2.5057,D
2000,2.5275,D
1990,2.5184,D
1996,2.5071,P
1994,2.4969,P
1987,2.4965,D
1999,2.5075,D
2000,2.4615,D
1969,3.0678,P
1995,2.5003,D
2001,2.4992,D
1980,3.0746,P
1987,2.4464,D
2001,2.4959,D
1995,2.4816,P
2008,2.5491,D
2005,2.4982,P
1995,2.512,P
2007,2.508,D
2004,2.4818,P
2007,2.4921,D
1993,2.4905,D
2004,2.4853,P
2002,2.4946,D
1998,2.4944,D
1975,3.0816,P
1992,2.523,P
2003,2.5118,P
2003,2.4985,P
2008,2.5091,P
1995,2.5068,P
2007,2.4859,D
1991,2.505,P
1970,3.053,P
1980,3.0638,P
1979,3.0239,P
2000,2.4858,P
2000,2.5035,D
1997,2.5107,P
1994,2.4898,D
1999,2.5165,D
1990,2.4706,P
1969,3.1148,D
2003,2.5182,P
1973,3.1056,D
1979,3.1008,P
2008,2.5122,P
1975,3.0866,D
1998,2.4748,P
1992,2.5191,D
2002,2.4901,D
1996,2.4928,D
2006,2.4912,P
1991,2.5083,D
2000,2.5039,D
1998,2.5138,D
2001,2.5036,D
1983,2.5192,P
1980,3.0866,P
2001,2.4954,D
1992,2.5183,D
1996,2.5751,P
1978,3.0704,P
1996,2.5065,D
1997,2.4809,P
1996,2.4896,D
2005,2.5007,P
2005,2.5162,P
1974,3.0937,D
2001,2.496,D
2001,2.5031,P
1986,2.5471,D
2006,2.5184,P
1977,3.0885,P
2001,2.4929,P
2004,2.4729,D
2002,2.4979,D
1964,3.1049,P
1983,2.4965,D
1994,2.501,D
1994,2.4997,D
1990,2.5361,D
1993,2.4984,D
1970,3.0926,D
2007,2.5512,D
2000,2.5141,D
1977,3.112,D
1994,2.4708,D
1995,2.5339,D
1997,2.4845,P
2000,2.4769,D
2000,2.5031,D
1999,2.5006,D
2000,2.4929,P
2006,2.4796,D
2003,2.5026,D
1977,3.0933,P
1999,2.5204,D
2006,2.4998,P
1995,2.4954,D
2000,2.5057,D
2000,2.4975,P
2001,2.5,P
1979,3.076,P
1973,3.0478,P
1993,2.4853,D
2000,2.5072,D
1984,2.4561,P
1997,2.5259,P
2005,2.499,P
1992,2.5101,D
2006,2.5182,P
2005,2.5038,P
1991,2.524,P
1993,2.4821,D
2006,2.4988,P
1996,2.5181,D
2003,2.5239,D
1960,3.0603,D
1998,2.5055,D
1975,3.1093,P
2001,2.5099,P
1992,2.5033,D
1982,3.0626,P
1995,2.5079,P
2003,2.4899,D
1998,2.51,D
1961,3.1059,D
1990,2.5221,P
1983,2.5026,P
1985,2.5288,D
2000,2.515,P
2001,2.4993,D
2001,2.4918,D
2001,2.492,D
1989,2.5277,P
1985,2.5369,D
2001,2.495,D
2000,2.4959,D
2000,2.5048,P
2006,2.5331,P
1989,2.492,P
2007,2.502,P
2008,2.5141,P
1983,2.492,P
2007,2.4963,P
2000,2.501,D
1985,2.5047,P
2003,2.5251,P
2001,2.5227,D
1988,2.4701,P
1984,2.5383,P
1983,2.4762,D
1984,2.5731,P
1989,2.4662,D
1984,2.4817,P
1990,2.4882,P
1986,2.4641,D
1988,2.5045,P
1987,2.5001,D
2006,2.5213,D
1996,2.5279,P
1984,2.5006,P
1983,2.4971,P
1983,2.5293,P
2001,2.4815,P
1994,2.5046,P
2007,2.5022,P
2003,2.5102,P
2000,2.4961,D
1989,2.5213,P
1995,2.4853,P
1990,2.5089,D
1988,2.5532,D
1986,2.367,D
1987,2.5037,D
1987,2.4941,D
1988,2.4963,D
1985,2.5728,P
1985,2.5219,P
1987,2.4836,D
1983,2.5452,P
1988,2.5203,P
1987,2.4925,D
1986,2.504,P
1988,2.52,P
1984,2.5294,P
1989,2.4897,P
1986,2.5112,P
1986,2.5432,D
1984,2.4792,D
2000,2.4901,P
1987,2.5072,D
1998,2.503,P
1984,2.5544,P
1987,2.5589,P
1986,2.4625,D
1989,2.4973,P
1986,2.5033,D
2004,2.5335,D
1972,3.0909,D
1973,3.1322,P
1995,2.4976,P
1976,3.0153,D
1975,3.0964,P
1994,2.4755,P
1970,3.0949,D
1971,3.0897,D
1995,2.4821,D
1969,3.0588,D
1975,3.1344,P
1983,2.5136,P
1967,3.1105,P
1973,2.9915,D
1974,3.099,P
1967,3.147,P
1972,3.1297,D
1996,2.513,P
1973,3.1917,D
1978,3.1258,D
1978,3.0783,P
1977,3.1151,P
1996,2.4864,P
1968,3.0925,P
1978,3.1463,D
1969,3.0522,D
1974,3.0689,D
1979,3.071,P
1968,3.0527,D
1994,2.4815,D
1977,3.1103,P
1980,3.0634,P
1978,3.0562,P
1970,3.1235,D
1981,3.0981,P
1977,3.0492,D
1980,3.0999,P
1996,2.4986,P
1982,2.547,P
1978,3.0973,D
1972,3.1034,P
1971,3.1176,P
1980,3.0699,P
1972,3.0994,D
1981,3.0779,P
1982,3.1615,D
1978,3.1087,P
1975,3.1413,P
1996,2.5355,P
1960,3.1741,D
1968,3.0577,D
1967,3.0371,P
1980,3.1313,D
1982,2.5161,P
1981,3.0863,P
1975,3.1058,P
1980,3.1534,P
1976,3.0502,D
1965,3.1989,P
1981,3.0799,P
1965,3.1072,P
1995,2.5149,P
1980,3.076,P
1981,3.0712,P
1972,3.11,D
