Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,mass
147754,560667281,4.68294,-0.57633,2.68106,-3.796,2.74231,-1.12878,1.78254,1,150.7,58.3664,15.9081,-138.024,60.4955,-1.5629,0.266092,-1,18.592917547633615
147754,560759235,20.8432,-6.66076,1.02363,-19.7237,6.73896,-1.79505,2.9891,1,62.8052,12.2413,6.38374,-61.269,13.8058,-2.19579,0.480694,-1,18.74101950966114
147754,560487116,22.4201,-1.61521,-14.8686,16.7026,14.956,0.961588,-1.679,1,27.9346,-3.06542,-13.5187,24.2525,13.8619,1.32569,-1.79378,-1,5.525259957060796
147754,561948870,7.03355,0.43437,3.52145,-6.07302,3.54813,-1.30669,1.44807,-1,20.0156,13.1963,3.38266,-14.6642,13.623,-0.9344,0.250931,1,8.256047653272102
147754,561861383,22.7312,-2.48108,15.5507,16.3929,15.7474,0.910067,1.72901,-1,20.9555,5.22241,8.70576,18.3322,10.152,1.35324,1.03047,1,10.334623601249357
147754,562060071,15.3313,0.8293,-9.0338,12.3593,9.07178,1.11592,-1.47925,1,35.3407,1.75334,13.8519,-32.4657,13.9624,-1.58029,1.44489,-1,46.189827300612414
147754,561974458,11.3822,2.92423,-1.25507,-10.9283,3.18219,-1.94749,-0.405421,-1,68.9831,16.8308,3.70094,-66.7959,17.2329,-2.06421,0.216447,1,4.613749894846745
147754,562084868,6.50779,-4.28217,-0.456423,4.87913,4.30643,0.972356,-3.03541,1,24.7306,-11.2953,3.95252,21.6424,11.9669,1.35457,2.80498,-1,4.191084634899542
147754,561216085,2.70712,-0.76034,-2.55097,-0.492887,2.66187,-0.184124,-1.86047,-1,68.1392,0.512547,13.7209,-66.7415,13.7305,-2.28477,1.53346,1,19.336740281156068
147754,561532117,49.9847,15.5577,-32.2542,-34.8725,35.8103,-0.862733,-1.12137,1,41.1833,-18.1485,30.2005,21.3219,35.234,0.573237,2.1119,-1,90.09470314790987
