"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.290914167E-1,-2.369766235E1,-9.890762329E0,-3.670220947E1,4.479351025E1
7.391064167E-1,-2.367390442E1,-9.776733398E0,-3.671652222E1,4.476763641E1
7.491214167E-1,-2.382197571E1,-9.686447144E0,-3.654170990E1,4.468344601E1
7.591374167E-1,-2.390017700E1,-9.749023438E0,-3.678885651E1,4.494087095E1
7.691524167E-1,-2.385417175E1,-9.886062622E0,-3.643907166E1,4.466051598E1
7.791674167E-1,-2.373645020E1,-9.893600464E0,-3.647800446E1,4.463123578E1
7.891824167E-1,-2.379219055E1,-9.953933716E0,-3.654530334E1,4.472927815E1
7.991974167E-1,-2.371601868E1,-9.864669800E0,-3.656972504E1,4.468899240E1
8.092124167E-1,-2.378077698E1,-9.895187378E0,-3.664752197E1,4.479376021E1
8.192274167E-1,-2.370060730E1,-9.751525879E0,-3.671927643E1,4.477852504E1
8.292424167E-1,-2.368858337E1,-9.870040894E0,-3.664897919E1,4.474052263E1
8.392574167E-1,-2.379418945E1,-9.805297852E0,-3.679517365E1,4.490202803E1
8.492724167E-1,-2.366644287E1,-9.809341431E0,-3.689159393E1,4.491451214E1
8.592884167E-1,-2.363937378E1,-9.790100098E0,-3.663826752E1,4.468812705E1
8.693034167E-1,-2.373075867E1,-9.741104126E0,-3.635163879E1,4.449134365E1
8.793184167E-1,-2.365678406E1,-9.697875977E0,-3.650015259E1,4.456403673E1
8.893334167E-1,-2.374749756E1,-9.834671021E0,-3.639754486E1,4.455834003E1
8.993484167E-1,-2.384071350E1,-9.882415771E0,-3.647994232E1,4.468588092E1
9.093634167E-1,-2.372885132E1,-9.863128662E0,-3.648040009E1,4.462240785E1
9.193784167E-1,-2.385415649E1,-9.991424561E0,-3.656825256E1,4.478935635E1
9.293934167E-1,-2.372465515E1,-9.793197632E0,-3.639104462E1,4.453172027E1
9.394084167E-1,-2.368925476E1,-9.840957642E0,-3.641470337E1,4.454274194E1
9.494234167E-1,-2.359626770E1,-9.750656128E0,-3.652381134E1,4.456285380E1
9.594384167E-1,-2.352943420E1,-9.694168091E0,-3.646684265E1,4.446843579E1
9.694544167E-1,-2.355334473E1,-9.711791992E0,-3.642494965E1,4.445060076E1
9.794694167E-1,-2.358125305E1,-9.860687256E0,-3.658792877E1,4.463166119E1
9.894844167E-1,-2.370439148E1,-9.775604248E0,-3.658065033E1,4.467219037E1
9.994994167E-1,-2.378298950E1,-9.860382080E0,-3.648731995E1,4.465626766E1
1.009514417E0,-2.370310974E1,-9.758071899E0,-3.652706909E1,4.462380704E1
1.019529417E0,-2.375845337E1,-9.815002441E0,-3.650034332E1,4.464385111E1
1.029544417E0,-2.356436157E1,-9.852447510E0,-3.647570801E1,4.452894713E1
1.039559417E0,-2.356611633E1,-9.858642578E0,-3.660170746E1,4.463451200E1
1.049574292E0,-2.361935425E1,-9.908355713E0,-3.653661346E1,4.462032644E1
