Time,Altitude,Velocity
0,0,0
0.1,0.583558275869696,0.573479210655006
0.2,1.20785729498847,0.790573497175108
0.3,1.87216286145739,0.928331491164882
0.4,2.53610132997684,1.1537545806928
0.5,3.2297693855468,1.28668270631684
0.6,3.95279993021779,1.44087507820503
0.7,4.70482586604034,1.60799304405374
0.8,5.48548009506499,1.78754964216974
0.9,6.29439551934226,1.99019760057892
1,7.13120504092269,2.20644546348204
1.1,7.99554156185681,2.40548114846775
1.2,8.88703798419514,2.59374197084981
1.3,9.80532720998821,2.78012520165163
1.4,10.7500421412866,2.94352250458288
1.5,11.7208156801407,3.08651300123895
1.6,12.7172807286012,3.20809301048576
1.7,13.7390701887186,3.31356927658052
1.8,14.7858169625433,3.41914322839937
1.9,15.857153952126,3.53158539779197
2,16.9527140595172,3.65156421536363
2.1,18.0721301867673,3.792121511014
2.2,19.215035235927,3.96297125142254
2.3,20.3810621090467,4.16498439219404
2.4,21.569843708177,4.39647014060977
2.5,22.7810129353683,4.64056908094684
2.6,24.0142026926714,4.89093668282211
2.7,25.2690458821366,5.15452762075578
2.8,26.5451754058145,5.41672963749588
2.9,27.8422241657556,5.66789487289109
3,29.1598250640105,5.91961732424799
3.1,30.4976110026297,6.17000294580346
3.2,31.8552148836637,6.41088204366483
3.3,33.232269609163,6.6493402450375
3.4,34.6284080811783,6.8848840345459
3.5,36.0432632017599,7.11258070297436
3.6,37.4764678729585,7.34044735590858
3.7,38.9276549968246,7.55914695630033
3.8,40.3964574754086,7.76668433235655
3.9,41.8825082107612,7.98230180110546
4,43.3854401049329,8.20805734623141
4.1,44.9048860599741,8.42528584903168
4.2,46.4404789779355,8.64386566385174
4.3,47.9918517608675,8.86119695830842
4.4,49.5586373108207,9.07107351600901
4.5,51.1404685298457,9.27807874759498
4.6,52.7369783199928,9.48978489020833
4.7,54.3477995833128,9.69947348492541
4.8,55.972565221856,9.90725225666253
4.9,57.6109081376731,10.115270854653
5,59.2624612328145,10.3248875037457
5.1,60.9268574093309,10.5415904343862
5.2,62.6037295692727,10.76208972092
5.3,64.2927106146904,10.970721212306
5.4,65.9934334476346,11.1671285967622
5.5,67.7055309701558,11.3656415464638
5.6,69.4286360843046,11.5641596080867
5.7,71.1623816921315,11.7634770137536
5.8,72.9064006956869,11.9597752833169
5.9,74.6603259970215,12.1496453861793
6,76.4237904981858,12.3445375981602
6.1,78.1964271012302,12.5421696708788
6.2,79.9778687082055,12.7321496149113
6.3,81.7677482211619,12.9204886277091
6.4,83.5656985421501,13.1075877664884
6.5,85.3713525732207,13.2980916924642
6.6,87.1843432164241,13.5053247127319
6.7,89.0043033738109,13.7091624266052
6.8,90.8308659474316,13.9079131010955
6.9,92.6636638393367,14.1149269717404
7,94.5023317633246,14.3245301968945
7.1,96.3503452922697,14.5293702424936
7.2,98.2146067844971,14.7276388360265
7.3,100.101880855805,14.9164295735091
7.4,102.018794379467,15.1058081497872
7.5,103.971836486228,15.2955397581744
7.6,105.967358564307,15.4837093970853
7.7,108.011572447652,15.6713699252658
7.8,110.106711368604,15.8645756705469
7.9,112.251444031531,16.0630120709169
8,114.444439140797,16.2546935571095
8.1,116.684365400771,16.4464381010879
8.2,118.969891515819,16.6449699743877
8.3,121.299686190305,16.8425073584669
8.4,123.672418128598,17.0480791763494
8.5,126.086756035064,17.257563051498
8.6,128.541368614068,17.4655955043689
8.7,131.034924569978,17.6804847666559
8.8,133.566092607159,17.8997031447304
8.9,136.133541429978,18.1165571077877
9,138.735939742802,18.3394814768454
9.1,141.371956249997,18.5623336411575
9.2,144.040259655928,18.7790688146733
9.3,146.739518664964,18.9960926478625
9.4,149.468401981469,19.2221990707527
9.5,152.225578309811,19.4468278664634
9.6,155.009716354355,19.6666799435225
9.7,157.819484819469,19.8919945438132
9.8,160.653552409518,20.1186297570524
9.9,163.510587828869,20.3464150543875
10,166.389259781888,20.5826205221998
10.1,169.288236972942,20.8205563034047
10.2,172.206188106397,21.0640453486591
10.3,175.141781886619,21.3092380690999
10.4,178.093687017976,21.5370164485813
10.5,181.060572204832,21.7612528292725
10.6,184.041106151556,21.9981090701908
10.7,187.033957562512,22.2298529731567
10.8,190.037795142068,22.4532425604678
10.9,193.005775546755,22.6831141996748
11,195.915582702248,22.9281792132606
11.1,198.764436368937,23.1876316377222
11.2,201.549927782346,23.4395012286693
11.3,204.270019653128,23.6782874424059
11.4,206.923046167069,23.9232138826065
11.5,209.507712985084,24.175604658243
11.6,212.068609291055,24.4269285826038
11.7,214.626168474852,24.6776834595432
11.8,217.181659566759,24.9322290233081
11.9,219.73635159706,25.190354249076
12,222.291513596036,25.4521177244634
12.1,224.848414593972,25.7181180065152
12.2,227.408323621151,25.9793799035214
12.3,229.972509707855,26.2305599148628
12.4,232.542241884368,26.4822342334449
12.5,235.118789180973,26.7328006649335
12.6,237.703420627953,26.9909092130527
12.7,240.297405255591,27.2418271162768
12.8,242.902012094171,27.4734790871892
12.9,245.518510173975,27.7016137296776
13,248.148168525287,27.9399717495877
13.1,250.79225617839,28.1710231780713
13.2,253.452042163567,28.3846778840042
13.3,256.1287955111,28.6502119846768
13.4,258.823785251275,28.8999820691843
13.5,261.538280414372,29.1542948944515
13.6,264.273550030676,29.4206192482043
13.7,267.03086313047,29.6777516144277
13.8,269.811488744036,29.9353844833098
13.9,272.616695901659,30.211466060485
14,275.44775363362,30.4358238464692
14.1,278.305930970204,30.6901196016222
14.2,281.192496941693,30.9589204255898
14.3,284.108720578371,31.2151141728247
14.4,287.05587091052,31.4603245745029
